2023-04-21,191.62
2023-04-14,191.43
2023-04-06,191.61
2023-03-31,187.58
2023-03-24,182.71
2023-03-17,173.85
2023-03-10,169.62
2023-03-03,171.47
2023-02-24,169.78
2023-02-17,175.06
2023-02-10,174.3
2023-02-03,170.24
2023-01-27,166.36
2023-01-20,163.66
2023-01-13,160.43
2023-01-06,159.03
2022-12-30,160.28
2022-12-23,161.09
2022-12-16,163.01
2022-12-09,164.92
2022-12-02,166.64
2022-11-25,162.8
2022-11-18,160.1
2022-11-11,155.74
2022-11-04,151.91
2022-10-28,157.48
2022-10-21,154.13
2022-10-14,147.38
2022-10-07,148.48
2022-09-30,148.84
2022-09-23,153.28
2022-09-16,164.0
2022-09-09,167.82
2022-09-02,167.68
2022-08-26,175.69
2022-08-19,183.66
2022-08-12,183.01
2022-08-05,178.81
2022-07-29,173.67
2022-07-22,166.56
2022-07-15,166.03
2022-07-08,166.52
2022-07-01,167.01
2022-06-24,164.32
2022-06-17,156.56
2022-06-10,166.2
2022-06-03,171.64
2022-05-27,167.71
2022-05-20,162.96
2022-05-13,168.5
2022-05-06,174.72
2022-04-29,175.1
2022-04-22,177.08
2022-04-14,182.93
2022-04-08,192.56
2022-04-01,194.38
2022-03-25,191.39
2022-03-18,185.09
2022-03-11,180.68
2022-03-04,184.06
2022-02-25,183.12
2022-02-18,183.96
2022-02-11,190.78
2022-02-04,194.37
2022-01-28,190.54
2022-01-21,192.3
2022-01-14,198.69
2022-01-07,206.06
2021-12-31,212.17
2021-12-23,210.22
2021-12-17,215.88
2021-12-10,214.37
2021-12-03,209.84
2021-11-26,215.09
2021-11-19,217.11
2021-11-12,215.7
2021-11-05,214.59
2021-10-29,208.84
2021-10-22,201.62
2021-10-15,196.69
2021-10-08,191.53
2021-10-01,191.19
2021-09-24,192.66
2021-09-17,193.48
2021-09-10,194.11
2021-09-03,195.43
2021-08-27,195.45
2021-08-20,194.09
2021-08-13,190.61
2021-08-06,188.27
2021-07-30,187.12
2021-07-23,185.8
2021-07-16,183.73
2021-07-09,181.33
2021-07-02,176.04
2021-06-25,169.98
2021-06-18,169.14
2021-06-11,168.43
2021-06-04,166.12
2021-05-28,163.92
